season,week,game_id,home,away,model_margin,blended_margin,model_total,model_p_home,mkt_spread,total_line,value_side,total_side
2026,2,2026_02_DET_BUF,BUF,DET,9.907500135634939,7.203750067817469,52.60182883241148,0.6980519629965942,4.5,53.5,BUF,
2026,2,2026_02_CAR_ATL,ATL,CAR,3.2381409851994833,0.3690704925997417,44.112680596074135,0.510553797925019,-2.5,43.5,ATL,
2026,2,2026_02_NO_BAL,BAL,NO,13.515552533598852,11.007776266799425,44.24891815241442,0.7873254709718908,8.5,46.5,BAL,
2026,2,2026_02_MIN_CHI,CHI,MIN,9.20079007379058,7.35039503689529,44.034169235338844,0.7017579155747292,5.5,48.5,,
2026,2,2026_02_CIN_HOU,HOU,CIN,3.238067282003651,2.869033641001826,46.49047349957266,0.5815368866309277,2.5,46.5,,
2026,2,2026_02_PIT_NE,NE,PIT,6.557485614960582,6.028742807480291,45.66813409692742,0.6677107328528276,5.5,41.5,,
2026,2,2026_02_GB_NYJ,NYJ,GB,-5.887569668157956,-5.193784834078977,48.79961104082092,0.35448510828966107,-4.5,44.5,,
2026,2,2026_02_CLE_TB,TB,CLE,5.656339008178941,7.0781695040894705,36.18174545961424,0.6948634922154673,8.5,40.5,,
2026,2,2026_02_PHI_TEN,TEN,PHI,-18.318182466456133,-12.659091233228066,40.443277001418586,0.17895286886548084,-7.0,39.5,PHI,
2026,2,2026_02_JAX_DEN,DEN,JAX,-2.0850160416468193,0.20749197917659035,43.59050944063591,0.5059337826364955,2.5,43.5,JAX,
2026,2,2026_02_LV_LAC,LAC,LV,0.7367840620914503,3.868392031045725,35.22164805575452,0.6093758608875838,7.0,43.5,LV,Under
2026,2,2026_02_SEA_ARI,ARI,SEA,-12.20920054087674,-8.35460027043837,46.162081051330375,0.2733899282648919,-4.5,41.5,SEA,
2026,2,2026_02_WAS_DAL,DAL,WAS,0.9971658460681123,2.248582923034056,58.060847400339604,0.5640587721586303,3.5,50.5,,Over
2026,2,2026_02_MIA_SF,SF,MIA,8.180759441494704,10.340379720747352,49.36781428673119,0.7727795357136228,12.5,45.5,MIA,
2026,2,2026_02_IND_KC,KC,IND,3.9341173262308846,5.217058663115442,47.22749375639567,0.6461400505944223,6.5,47.5,,
2026,2,2026_02_NYG_LA,LA,NYG,12.326338188159129,9.663169094079564,52.00275770359072,0.7575062333726699,7.0,48.5,LA,
